Arrival time,Preprocessing start,Preprocessing end/Classification start,Classification end
0,0,12.122431754278704,33.51077892181723
1373.3254834424765,1373.3254834424765,1384.1197969023085,1407.016339323795
2678.637900737795,2678.637900737795,2690.540841449092,2707.754680063607
3947.8615748481984,3947.8615748481984,3959.5445489370504,3978.8357714332165
5137.733992208664,5137.733992208664,5148.191345696374,5168.829020988962
6498.409340010717,6498.409340010717,6510.617631184286,6528.252169820244
7832.091482964597,7832.091482964597,7842.784041837146,7861.677441616006
9109.526186806548,9109.526186806548,9121.443407475805,9143.257911742601
10364.61320436016,10364.61320436016,10375.248077895352,10394.709872264251
11574.349788469997,11574.349788469997,11586.079606590927,11605.59784191554
13073.214793400495,13073.214793400495,13083.998981511411,13104.23524436115
14250.204554654876,14250.204554654876,14261.089090448117,14280.641463526672
15482.215137865394,15482.215137865394,15493.06881780383,15509.928361928842
16629.514885967932,16629.514885967932,16639.68493212218,16657.620530884928
17874.572061947973,17874.572061947973,17884.812257526675,17902.807495055185
18987.535318789,18987.535318789,18997.963005975642,19016.022456349387
20210.28138697973,20210.28138697973,20221.5203893987,20239.960413601686
21407.984488496822,21407.984488496822,21418.094405163978,21439.982567743
22783.263446167555,22783.263446167555,22793.695445760597,22815.784644407526
24047.973767168944,24047.973767168944,24058.40668313533,24078.244178544595
25141.99437820093,25141.99437820093,25153.271783537355,25175.962230286303
26358.35580184879,26358.35580184879,26368.58395105775,26386.727207820993
27679.49178627255,27679.49178627255,27690.09694652177,27710.1056270686
28932.782093512655,28932.782093512655,28943.553204135467,28965.96239299538
30343.626149218184,30343.626149218184,30355.04298988447,30375.600638597753
31754.97558073924,31754.97558073924,31766.350093422396,31786.058342419732
33090.521203491524,33090.521203491524,33102.03422026527,33124.458076108334
34277.77866734535,34277.77866734535,34287.89939297745,34308.399358833856
35441.1941926993,35441.1941926993,35451.33350681211,35474.034243397335
36662.38568218292,36662.38568218292,36673.7251490646,36695.245769128094
37980.834922808564,37980.834922808564,37991.08010330504,38008.534080100144
39195.88498553354,39195.88498553354,39206.02231511038,39224.74999143061
40859.78430235056,40859.78430235056,40871.73909844387,40891.30984829285
42126.10945097378,42126.10945097378,42137.67323415477,42156.4865866202
43442.62847569366,43442.62847569366,43453.508634460915,43473.96513426205
44673.26458975115,44673.26458975115,44683.6076895859,44704.61318030228
45963.434786761485,45963.434786761485,45973.56080491842,45992.92473316847
47331.78534646336,47331.78534646336,47342.639543110025,47365.672462887866
48629.38387689266,48629.38387689266,48640.89035609441,48661.63302742835
49806.66398753817,49806.66398753817,49817.54888978393,49837.284329143
50870.6410646108,50870.6410646108,50881.63247774863,50901.8945205116
52177.94181647374,52177.94181647374,52188.49252422242,52210.140667128624
53536.00577680885,53536.00577680885,53547.68564407025,53566.736091375315
54670.97347748193,54670.97347748193,54681.689113501554,54699.197332594704
55822.58716659985,55822.58716659985,55833.4618932841,55853.0658103847
57051.892649222675,57051.892649222675,57063.3355795313,57086.196706185234
58371.151918926,58371.151918926,58383.37647529339,58400.62582936885
59452.78523227894,59452.78523227894,59464.65798602327,59481.78408305288
60571.08002223531,60571.08002223531,60582.772761102606,60605.834738819125
61681.32209072825,61681.32209072825,61692.2822063963,61713.212965703744
63048.96345295618,63048.96345295618,63060.27293517424,63081.00731408434
64392.16885365773,64392.16885365773,64404.272759568994,64421.3225634098
65565.38352848044,65565.38352848044,65575.51043088584,65594.78125575135
66902.44460594495,66902.44460594495,66913.98335402059,66933.72579274785
68374.44558880753,68374.44558880753,68385.35860917914,68408.11041085266
69547.80008193578,69547.80008193578,69559.77219223083,69576.61997141725
70603.58869517494,70603.58869517494,70615.56326241328,70634.41347849084
71752.66374414426,71752.66374414426,71764.3581767412,71782.15266741483
73074.68773890634,73074.68773890634,73085.5600935229,73105.69424317368
74468.41238460976,74468.41238460976,74479.22369859758,74498.15533882509
75862.05088451892,75862.05088451892,75873.88579544041,75894.28441669907
77049.58817771396,77049.58817771396,77060.66020812352,77078.20297089127
78348.33641024024,78348.33641024024,78360.52328589928,78378.02822788655
79549.042739981,79549.042739981,79559.68954979986,79579.26510436316
80854.22437227517,80854.22437227517,80865.89368033539,80888.1938256192
82078.14716987018,82078.14716987018,82090.08728752837,82109.70691178254
83171.46376150934,83171.46376150934,83182.56513050171,83200.26063718804
84465.2879907677,84465.2879907677,84477.48955464347,84498.22405552908
85894.75578554143,85894.75578554143,85906.48619546552,85928.7708799147
87185.12403562016,87185.12403562016,87195.49239923686,87218.22569845911
88481.21885275336,88481.21885275336,88492.24146466628,88514.95055751868
89781.32692991187,89781.32692991187,89792.92503782889,89811.25612605827
90978.86540075263,90978.86540075263,90990.78258219674,91012.19403508214
92228.61036273077,92228.61036273077,92239.63450368113,92259.28895289793
93650.65477706109,93650.65477706109,93662.67935418803,93685.46166143716
94873.1657602802,94873.1657602802,94883.60359871236,94903.08310326924
96258.4469374423,96258.4469374423,96268.72744950508,96290.37899220121
97410.87916806161,97410.87916806161,97421.72709929109,97443.42313051697
98761.06771574024,98761.06771574024,98772.9162216393,98791.80683445265
100067.50825664274,100067.50825664274,100079.69004617554,100100.59087457856
101339.94152032302,101339.94152032302,101350.76087919461,101369.97491294052
102653.89759003179,102653.89759003179,102664.4588499411,102682.60713347758
103846.70316210437,103846.70316210437,103857.8370065004,103879.32637632408
105113.53165646778,105113.53165646778,105124.69218499419,105147.22289075794
106318.69615799902,106318.69615799902,106330.7613715128,106351.38019808104
107591.4852748795,107591.4852748795,107602.27107465136,107622.43452330527
108969.26367559905,108969.26367559905,108980.03142794242,109002.03370378619
110233.75334938774,110233.75334938774,110244.66846467444,110261.79456083676
111528.63578085307,111528.63578085307,111539.55074623489,111556.93077012563
112847.46678710819,112847.46678710819,112859.44518852558,112880.31468355743
114128.24754653072,114128.24754653072,114138.7141563746,114155.68241743997
115663.17147233387,115663.17147233387,115673.84449541454,115695.16274089566
116984.76562847897,116984.76562847897,116996.79626161285,117014.83172350214
118180.55971197126,118180.55971197126,118191.0301581509,118208.58310434018
119358.07308860988,119358.07308860988,119368.54026472395,119386.77912235362
120615.01737251903,120615.01737251903,120626.99849304433,120646.35763240437
121902.77737322985,121902.77737322985,121915.07602293664,121934.79960374688
123090.89071864619,123090.89071864619,123103.1507080697,123125.34585559503
124310.86610153937,124310.86610153937,124321.23394453981,124343.86016850964
125484.49186595142,125484.49186595142,125496.66295660503,125519.11123895217
126737.88500700762,126737.88500700762,126749.11833272305,126767.06505239895
127989.22059131386,127989.22059131386,128000.00781832509,128020.45619697552
129153.38548420058,129153.38548420058,129165.56731507403,129183.60450771627
130454.20913657692,130454.20913657692,130465.99373523383,130483.89702567447
131619.3577856733,131619.3577856733,131631.42522040074,131652.633355225
132671.86766891397,132671.86766891397,132683.28389485073,132701.76931776284
133710.52694165905,133710.52694165905,133722.44399079157,133742.73949467952
134850.76792673365,134850.76792673365,134862.0542141301,134881.46805028192
136012.68830269575,136012.68830269575,136024.66337640848,136041.61179467654
137254.39267212187,137254.39267212187,137264.75265757836,137282.21545666902
138464.83757304962,138464.83757304962,138476.18959405366,138494.4251241634
139817.36011716706,139817.36011716706,139829.52398580578,139850.3262201263
141176.34431186505,141176.34431186505,141188.39656534969,141205.87636125134
142479.19960606654,142479.19960606654,142491.09822359125,142512.8185546926
143664.41165692452,143664.41165692452,143675.422362672,143695.3697241424
144920.3126389797,144920.3126389797,144931.2606343635,144950.03966823744
146195.65519939334,146195.65519939334,146206.93281891895,146229.02328118015
147299.08291008562,147299.08291008562,147309.95433595756,147332.7838298715
148596.0741311188,148596.0741311188,148607.84288278228,148625.32664908725
149824.0867154835,149824.0867154835,149835.32288099552,149853.9589769658
151093.8537683908,151093.8537683908,151105.94354267343,151127.3383401794
152435.96276161482,152435.96276161482,152446.82683371147,152469.47614064915
153558.80548368255,153558.80548368255,153570.6482868343,153589.51868234176
154678.35967512973,154678.35967512973,154689.23888781847,154708.1265014185
155739.92805911784,155739.92805911784,155750.23536620068,155769.23337839008
156963.2095994004,156963.2095994004,156974.21456101906,156992.3729626054
158165.22265562392,158165.22265562392,158175.43896975863,158193.86813965125
159495.3445377619,159495.3445377619,159507.42402926396,159525.77135782017
160660.7381614354,160660.7381614354,160671.98759106608,160693.53948955142
161700.76162831252,161700.76162831252,161711.22182948043,161729.69008426735
162824.65291599298,162824.65291599298,162835.75194519918,162856.39810984212
164111.19287968893,164111.19287968893,164123.15483917564,164140.5655685661
165397.59944148295,165397.59944148295,165409.82047613125,165429.91310228125
166414.97452906024,166414.97452906024,166425.68132850184,166448.40370413466
167528.07456086465,167528.07456086465,167539.2512656199,167561.20404844912
168817.9435959573,168817.9435959573,168829.8601435197,168849.555506495
170275.66565370074,170275.66565370074,170287.54401030877,170306.18112284958
171543.5944022857,171543.5944022857,171554.1485103664,171574.41799950137
172785.24882468552,172785.24882468552,172795.5540360955,172818.48916774674
173960.18767569747,173960.18767569747,173971.6967750323,173993.8491656964
