Arrival time,Preprocessing start,Preprocessing end/Classification start,Classification end
0,0,11.202334005265714,30.88117303270652
1291.7604491108484,1291.7604491108484,1303.8424231655613,1323.6581447722456
2558.40112998566,2558.40112998566,2568.8755304978013,2591.6716283133123
3942.1545583042393,3942.1545583042393,3954.725227072619,3978.0076970144464
5184.139079664678,5184.139079664678,5194.401310196721,5213.969704424359
6621.747150447343,6621.747150447343,6632.772204631209,6655.620945803231
7884.21641685604,7884.21641685604,7896.276367081887,7918.515080052052
9153.260874240283,9153.260874240283,9163.463554017291,9185.936769467711
10521.32068750847,10521.32068750847,10533.94061823117,10557.313816292271
11833.17685063633,11833.17685063633,11845.498111622745,11862.618706800838
13214.323522517363,13214.323522517363,13226.186812577756,13243.32652186819
14437.529021218726,14437.529021218726,14448.240611827903,14471.62286618795
15759.934422959219,15759.934422959219,15772.558206427782,15791.807513314894
17018.045317733217,17018.045317733217,17028.71144543322,17047.09800156189
18161.066645668747,18161.066645668747,18171.82153466474,18190.552790400314
19355.395622675565,19355.395622675565,19366.927970098262,19385.710304678647
20506.232782667215,20506.232782667215,20517.840474905133,20536.006940824307
21688.61664386696,21688.61664386696,21698.796849268725,21716.998150394928
22950.874974959264,22950.874974959264,22962.82832566781,22980.059143997332
24266.945080389003,24266.945080389003,24278.08611842937,24301.456307301258
25672.434700635975,25672.434700635975,25683.09385398041,25705.236362694464
26990.584449168087,26990.584449168087,27001.214249692544,27019.40054356895
28259.80345056068,28259.80345056068,28270.56342174931,28292.651577549834
29646.276469747303,29646.276469747303,29658.277497682175,29676.571171430533
31062.36709524991,31062.36709524991,31072.640064321477,31096.161204024917
32366.71249964018,32366.71249964018,32377.576931990032,32400.018121377714
33789.740202459034,33789.740202459034,33801.83108115862,33825.41296327265
35051.41913165274,35051.41913165274,35061.81552162756,35080.579224031666
36415.90912425244,36415.90912425244,36427.53547514393,36446.48021931866
37719.71555017639,37719.71555017639,37731.39155882928,37752.35381166181
38924.68993389155,38924.68993389155,38936.5435590618,38955.357539775294
40487.584279207054,40487.584279207054,40499.72760700771,40519.29471216556
41753.17584691392,41753.17584691392,41764.101920626505,41782.11645795267
42862.73197846812,42862.73197846812,42873.36397041749,42890.30986481762
44173.37783128038,44173.37783128038,44185.176945579165,44205.466728213876
45433.049245401664,45433.049245401664,45443.720790212195,45461.241790661305
46719.38704516056,46719.38704516056,46731.15997578055,46751.394431896006
47988.5649316988,47988.5649316988,48000.18542377362,48018.2186560408
49220.444774515134,49220.444774515134,49231.90534008002,49254.56598383672
50454.99899775512,50454.99899775512,50467.22527238718,50486.22727387688
51635.75361187177,51635.75361187177,51648.03276491186,51666.42349129988
52964.4629628585,52964.4629628585,52976.25798225807,52996.87808556172
54331.125161859745,54331.125161859745,54341.60439642958,54359.06415008037
55673.97087838309,55673.97087838309,55686.232589082894,55709.289641171104
56958.20201959488,56958.20201959488,56968.40645918306,56991.066521522174
58246.4152973662,58246.4152973662,58259.34531970811,58277.237846020565
59616.572952973256,59616.572952973256,59628.55434122303,59651.12657977619
60846.762961164095,60846.762961164095,60858.04531479332,60878.90370222164
62277.77104622037,62277.77104622037,62288.82205427353,62308.285104012546
63455.12242843187,63455.12242843187,63468.00410542262,63485.03192205469
64822.89899796348,64822.89899796348,64834.04668685281,64855.72209887669
66120.02088293695,66120.02088293695,66130.52931206081,66149.71980009427
67304.89463922648,67304.89463922648,67316.49299704224,67339.25103059562
68641.36195199449,68641.36195199449,68653.80914852185,68675.2436614591
69828.94298938502,69828.94298938502,69841.7976011859,69863.48828821971
71149.91276856816,71149.91276856816,71160.96708857958,71180.90786816936
