Arrival time,Preprocessing start,Preprocessing end/Classification start,Classification end
0,0,11.980747722559677,30.755167136902728
1420.6240653600398,1420.6240653600398,1431.6346129874232,1449.9858302542207
2795.47230127845,2795.47230127845,2807.3034140073937,2829.926548614407
4092.2825716217444,4092.2825716217444,4104.3961235447905,4125.133111211941
5416.639250004993,5416.639250004993,5427.315753816181,5447.395557039229
6873.0707156348635,6873.0707156348635,6884.959434367049,6905.858864829566
8231.566790612149,8231.566790612149,8242.297547320073,8263.022148104732
9495.015714485746,9495.015714485746,9506.639313686183,9523.89466489894
10937.614615814171,10937.614615814171,10949.375605909885,10965.698035919728
12146.516676490968,12146.516676490968,12157.667551567776,12180.686366801965
13244.154433346399,13244.154433346399,13254.820357183085,13275.25266869738
14549.83055518365,14549.83055518365,14560.82721847323,14577.52606607883
15892.154400264062,15892.154400264062,15902.342590484172,15920.790637573693
17149.436452461738,17149.436452461738,17160.759879946614,17180.35963281467
18512.429270740005,18512.429270740005,18524.180843303722,18541.52138542904
19547.783919221714,19547.783919221714,19559.431865869374,19579.760142682626
20883.880861955153,20883.880861955153,20894.299622649247,20916.201368728016
22029.973883969553,22029.973883969553,22040.19845632566,22061.708013920146
23349.68863030701,23349.68863030701,23360.2220263819,23381.241988711303
24603.69139211522,24603.69139211522,24615.836706154856,24633.241284206288
25925.76339311856,25925.76339311856,25937.103985277,25954.639858652736
27068.27465367137,27068.27465367137,27078.73390216441,27098.825375416734
28237.8046758487,28237.8046758487,28249.01578791244,28271.67732020846
29533.897726495426,29533.897726495426,29545.30936294224,29568.11670317678
30908.436808214235,30908.436808214235,30919.78216973871,30939.61307075767
32184.255332162236,32184.255332162236,32194.55150727598,32217.05669084506
33288.23151978326,33288.23151978326,33300.33808912982,33319.560410403166
34450.16649014632,34450.16649014632,34462.12799554584,34484.095866058415
35822.75751970676,35822.75751970676,35833.284884080116,35855.408750102426
37243.835243928486,37243.835243928486,37253.97708371354,37273.79261615891
38462.87837542534,38462.87837542534,38473.691570463634,38496.735249288424
39684.598035251285,39684.598035251285,39695.23910399263,39712.100815909165
40905.35579964183,40905.35579964183,40915.615791405064,40933.83834016621
42170.215944238145,42170.215944238145,42182.45950276712,42199.34787919868
43638.24899758092,43638.24899758092,43649.68540043527,43669.31003955488
44911.86299758269,44911.86299758269,44923.53912337112,44943.131218073235
46137.68928612569,46137.68928612569,46147.84554127766,46166.96804988814
47528.946435638325,47528.946435638325,47540.03229734807,47559.766250437264
48944.448016691254,48944.448016691254,48954.747403194844,48975.67431144505
50214.16187691666,50214.16187691666,50224.79626923897,50242.724770604196
51482.459463502935,51482.459463502935,51493.94048577064,51513.68877139707
52737.309313042264,52737.309313042264,52749.53270944654,52768.26750376009
