Arrival time,Preprocessing start,Preprocessing end/Classification start,Classification end
0,0,11.099820238038694,32.55673161360512
1163.3157134364158,1163.3157134364158,1173.8982279114064,1191.8145492264416
2466.8239195801216,2466.8239195801216,2477.6302848210835,2500.030568233296
3604.5637501055735,3604.5637501055735,3616.3586389352968,3639.1540605242512
5092.256574458615,5092.256574458615,5102.814920926328,5123.438436605749
6287.074497817481,6287.074497817481,6297.353944802248,6316.105464688896
7753.281381113919,7753.281381113919,7764.896169187093,7785.264706268507
9079.68837288664,9079.68837288664,9091.63121438422,9110.001190854302
10296.179819074821,10296.179819074821,10308.319713229897,10325.955704293694
11558.462374237144,11558.462374237144,11568.590238807541,11586.09073921631
13096.777720728862,13096.777720728862,13108.041817833937,13127.342852759833
14406.518799406635,14406.518799406635,14418.664559847308,14441.281995431396
15675.60834645089,15675.60834645089,15686.282177780624,15704.131653999413
17037.777337241336,17037.777337241336,17048.112376587964,17067.11844518564
18315.31030030264,18315.31030030264,18326.361865686093,18345.57624439612
19458.86452363279,19458.86452363279,19470.379926913458,19493.237639661795
20705.712896193727,20705.712896193727,20717.03920136676,20734.366372796845
22066.382636216254,22066.382636216254,22077.22169198624,22099.629429409608
23316.787851638273,23316.787851638273,23327.39772935717,23346.308608176794
24544.43509157802,24544.43509157802,24555.12826156115,24573.018689196757
25929.67298144764,25929.67298144764,25941.840234573174,25959.698776651287
27278.179385391544,27278.179385391544,27288.3955673716,27308.82711108161
28643.6072293319,28643.6072293319,28655.00325939947,28673.532437795544
29948.176255265316,29948.176255265316,29958.94138493638,29981.592993260187
31291.228884551183,31291.228884551183,31303.218553072278,31322.51844980062
32638.814817955023,32638.814817955023,32651.09002250838,32673.928966784206
34008.41565992804,34008.41565992804,34020.54581801225,34040.32380659501
35276.03041662563,35276.03041662563,35288.09061098626,35309.695745599565
36671.14925900687,36671.14925900687,36682.102322382656,36705.04206801548
37976.4305612477,37976.4305612477,37988.11320427562,38009.252771411506
39281.78995998174,39281.78995998174,39293.361697998276,39312.708656147464
40515.86876866118,40515.86876866118,40527.855583845194,40549.19354361879
41798.83659921593,41798.83659921593,41810.57178475192,41832.074046095346
43140.59515315481,43140.59515315481,43152.83185618095,43172.82147295897
44570.03935151741,44570.03935151741,44581.63802911365,44601.063863717056
45821.63604696942,45821.63604696942,45832.8682187165,45853.66428424712
47032.43938606877,47032.43938606877,47042.6131994959,47061.55720070316
48206.81023400955,48206.81023400955,48218.94418653848,48238.49588902554
49455.84108292544,49455.84108292544,49466.52746518347,49484.3429361987
50777.680042606735,50777.680042606735,50787.74181245048,50807.381263948984
52182.53102076468,52182.53102076468,52194.21248057468,52212.92721083169
53349.948635616296,53349.948635616296,53360.85302852776,53382.05828340956
54644.85662033464,54644.85662033464,54655.80485583763,54677.63451912734
55837.399689563266,55837.399689563266,55848.09046200227,55865.96866650226
57275.25149992857,57275.25149992857,57286.52420997183,57308.049310697505
58524.20928378442,58524.20928378442,58534.2866316408,58551.54668274549
59799.67949471627,59799.67949471627,59810.57940780599,59827.83918118578
60955.46159164606,60955.46159164606,60966.85292386773,60986.39390958095
62231.21453953086,62231.21453953086,62241.428984500926,62262.665697504875
63478.90754879516,63478.90754879516,63489.07286189341,63511.90551599293
64723.25795465713,64723.25795465713,64735.14325463618,64754.3483787403
